"","I","IIA","IIB","III","IV","V"
"2016-10-02",3.51411445449609,2.94628099932159,3.28676024938689,3.77531171986282,3.18893962863172,3.70676130499653
"2016-10-05",2.44603942120677,2.32555175825657,2.54259537030976,2.67492251850122,2.62369152233612,2.45851182048599
"2016-10-08",2.451594014329,2.37236304283966,2.54787350342572,2.60615287477575,2.65614789355382,2.45558604801792
"2016-10-11",2.20596941016981,2.20222855650937,2.34193005259116,2.31892820316805,2.45090202200838,2.28263486960417
"2016-10-14",2.29968908125475,2.26798053864213,2.41141317873389,2.39212233636903,2.55975866878884,2.38723722054623
"2016-10-17",2.17098993445862,2.17912921023552,2.31371720048119,2.2906932501103,2.45929160578079,2.29917295878943
"2016-10-20",2.21792557030888,2.24617452372453,2.38602828412104,2.37011917093844,2.52381573268326,2.39473776928643
"2016-10-23",2.20245805360308,2.229613394305,2.39511251036837,2.34143460558525,2.5209991888465,2.55340129759692
"2016-10-26",2.11955269364865,2.2715631898783,2.34223341017444,2.38099163876779,2.57033670132888,2.30043160856197
"2016-10-29",2.08088160113704,2.18167054555498,2.30854585815894,2.28270267481679,2.43501957336046,2.26949176070939
"2016-11-01",2.08370215559039,2.26935315788146,2.42724603001011,2.39196318028885,2.63226352291177,2.38167046503715
"2016-11-04",2.07722972109893,2.5396178441713,2.39646364182665,2.41556589107628,2.54351716611112,2.29638145024971
"2016-11-07",2.08818823823292,2.2244987572175,2.34064959788213,2.32220057414929,2.67092819921048,2.30002218555838
"2016-11-10",7.60151878830394,4.33032285860359,4.94489818894691,4.14433885707202,3.64098293866228,3.88606839727624
"2016-11-13",10.4278885508768,4.77523463117855,5.76546631828068,6.29372823280428,4.47741929152066,3.69430697531518
"2016-11-16",8.33958038501483,5.19258423137524,5.14594080931453,4.87678154306733,3.56843326200945,3.35883164653625
"2016-11-19",7.7958028633524,7.14383278185355,6.05346277630609,6.10309399377732,4.08280277412848,3.21804046528041
"2016-11-22",5.74507239941398,4.58943493068797,3.90065049957193,4.01532029768994,3.4778637372089,2.62153266186144
"2016-11-25",16.4544628196477,14.7301354940282,15.7331193287989,14.8375515934473,9.82888730506092,8.38464353003971
"2016-11-28",10.4886620104569,14.0383116892632,11.5074107311057,9.32456754148778,5.69768018711164,4.53476860451321
"2016-12-01",8.88890550029707,9.15244481604522,8.53125794276269,7.07588851976761,4.03870494051506,3.30765507756016
"2016-12-04",9.9881344105237,10.1797500058652,8.73983169645899,6.68946282103682,3.97059634702935,3.31522432849394
"2016-12-07",9.39130690240972,10.0248899895599,8.12195669148396,6.05102532144597,3.43629514349559,2.85584063100786
"2016-12-10",20.8020891074187,18.9290504856955,17.6908767135458,15.3507828557468,13.0073636475368,11.749558104365
"2016-12-13",22.4514414142584,21.6243506385567,22.0997222282431,21.4585205012846,18.8654223530236,13.9455645591943
"2016-12-16",24.0309808558933,23.1841109201583,23.9414309107364,22.6016543614402,19.693739454433,14.9532937890248
"2016-12-19",22.4606442973264,23.9851722824924,22.9726669572658,18.5267703859675,14.4248280674673,9.57071583659353
"2016-12-22",21.3824970676859,21.5537000185107,20.9939989852635,15.6694553182545,11.2442649305289,7.88008855160251
"2016-12-25",23.3935692561585,22.6400714486985,23.5160679390144,21.8879480113985,19.3126203314682,14.6414151836835
"2016-12-28",22.6631542586094,22.4596908699226,23.0094080332008,22.9995065578973,21.9768323191078,18.5744942480466
"2016-12-31",22.1388030646265,22.5462906882861,23.3784915062236,22.5926449156717,19.5917242437101,13.2755745057188
"2017-01-03",22.2248754459107,23.7048119589498,24.3979688824286,23.6834669685359,20.7191015974001,10.7849966458952
"2017-01-06",24.1066846762593,24.1136395723511,24.9199592632347,24.400102528554,23.1940952250015,16.9060665581276
"2017-01-09",24.8768778012098,24.5437227935954,25.1532529672164,24.6320378125977,22.6903412924492,13.5840046941958
"2017-01-12",24.9814919037862,24.5854381606277,25.2234948923623,24.5099157083304,22.0028111930546,13.0830918711053
"2017-01-15",25.320517186809,25.1136001709651,25.3386788249208,25.3239075522192,24.8243617213026,19.7085571813636
"2017-01-18",24.683435080719,25.06048631167,24.8605089213718,23.713321987416,21.4916475016623,14.8056562060652
"2017-01-21",24.8019480065041,24.7166589845334,24.6483534355027,23.9160043393545,21.7861220395607,15.380862717234
"2017-01-24",23.397846169429,24.3142932763439,24.1397539430319,23.8047917771548,21.8387539423501,13.6575779575697
"2017-01-27",24.6475292404735,24.6580378214311,24.5934209393792,24.8568542173042,23.5769663381471,16.9009594426157
"2017-01-30",22.8636111419935,24.1449107665151,23.3246790174967,24.1363473698414,23.2529751976165,17.8983124268851
"2017-02-02",23.4365125319174,24.1518939258569,23.8422838788772,24.4519342217289,21.7809468059735,14.369365028555
"2017-02-05",23.4624122987343,24.479666571097,24.4730451692863,24.7414095951711,23.3869002682749,14.8896608110362
"2017-02-08",20.2310446529616,24.098662743016,21.1842254376488,20.7248516713599,18.7292789028494,10.8862656359376
"2017-02-11",20.5991931510642,22.9144801483653,21.4861245964745,20.1887102117446,16.5699632314069,9.36242622488731
"2017-02-14",21.8991584545806,24.658896948972,23.5119193244665,20.6242308300471,16.6426839268875,11.8509482335738
"2017-02-17",23.0568823482474,24.671288914754,24.3318453205288,23.9370556060622,22.6252615225589,20.672475509349
"2017-02-20",19.3996595221708,23.9829989522548,22.2432109600793,22.4112404817729,21.5733169839772,16.0485027153512
"2017-02-23",21.3264961662189,23.765569183553,23.1740484598383,24.0296468565908,22.9297692639177,18.0554331759513
"2017-02-26",24.8030943133048,24.5891950372375,24.6746250747042,24.6577517475241,23.696757959317,17.1858915378313
"2017-03-01",23.6714809981435,24.2087751139653,23.8354833620054,23.7013049873466,21.1853175868143,13.9095069638115
"2017-03-04",24.6188724639457,24.2848400368614,24.8771671160008,25.0618309762195,23.3927987300283,14.8466837553871
"2017-03-07",21.4380477225355,22.2412057930311,21.2341222427755,22.6840775016788,21.7364702873468,13.9515864110467
"2017-03-10",21.0223963820438,22.2259844240898,20.1808203856415,20.8802484663751,19.1838669084181,12.4685167388688
"2017-03-13",18.1373475623489,18.1949787583816,16.7045689608544,17.0702587390814,14.9481663184096,9.67117563915162
"2017-03-16",16.3614987213151,15.7929206172153,14.1507939115902,14.4401879096282,12.3695580198619,8.26841242059372
"2017-03-19",21.4494834223653,19.2661997526301,17.5822696847922,15.7708674529172,13.2151533517159,9.19645662799964
"2017-03-22",20.7818334344553,21.494343222916,18.9060045067359,17.4450155998932,13.0364141766217,8.32391765503066
"2017-03-25",19.9110353932965,19.0824108945767,16.3286402510008,14.2170182433625,11.2302471276719,7.34415959783174
"2017-03-28",17.5385243137744,15.7151639840908,13.4118450792859,11.7649154717504,9.03988751162756,6.16215264983612
"2017-03-31",15.9265013582575,13.8721639170265,11.5657851697965,9.97544155230525,7.68189044892388,5.39182958946945
"2017-04-03",14.610387605487,13.4108178634466,10.4494347202433,9.06233842076584,6.87440583931143,4.77524379854273
"2017-04-06",13.3591677795737,11.4615098526805,8.98874315345354,7.81708350163083,6.50808625701545,4.45844322881881
"2017-04-09",12.0696620601574,9.93737420152147,7.75506198751917,6.54637103144671,5.49705792721471,3.99362405905248
"2017-04-12",11.7176692762473,8.84323301146157,7.03717595809473,5.85842110168667,5.26274586606906,3.73983023898452
"2017-04-15",17.1235833219791,16.2126633294683,13.0489500348112,11.2717127491244,9.69463523164809,6.98929886853088
"2017-04-18",12.1733787401676,11.4954034149985,8.94670888661728,7.87807127359743,6.24842504797935,4.39900315967391
"2017-04-21",11.448826072545,10.2294219060174,8.05244189896902,7.92512369929312,6.83872388688792,4.5587258947497
"2017-04-24",15.8324842533962,11.4682170753,10.4375613700437,12.7867068534336,10.281930474494,6.77936245230187
"2017-04-27",12.6340373756775,10.4572127852954,8.98647259334193,9.49159391213968,7.58901041942059,5.52959626889402
"2017-04-30",12.8262173471993,9.95898070209995,8.63099358670556,9.21404139211425,7.51307948221213,6.62284909884329
